id,Scientific Name,Water Consuption,Environmental Conditions,uses
Waxflower,Chamelaucium,"Fung Wax Flower needs 0.8 cups of water every 12 days when it doesn't get direct sunlight and is potted in a 5.0"" pot.","The wax flower likes dry conditions, so make sure not to overwater, and don't keep them anywhere humid. They can also thrive through the winter, and even start to bloom in the later months. They'll tolerate drought well, so only water when the soil has dried out.","Symbolizing riches and long-lasting love, the waxflower is often used in wedding bouquets as exotic-looking filler flowers. As an affordable and symbolic choice, Wax Flower is often a viable substitute for baby's breath in arrangements with larger blooms."
Mustard,Brassica nigra,Mustard requires about 31-40 cms of water. The first irrigation should be given at the flowering stage which is about 30 days after sowing. The second irrigation should be given at the pod formation stage which is about 60-65 days after sowing. When mustard is grown as mixed crop it is irrigated as maincrop.,The temperature range needed for the mustard crop is from 10 °C to 25 °C. The mustard crop is grown in regions with annual rainfall ranging from 625 to 1000 mm. This crop needs a clear sky and no frost because it cannot survive frost.,"Mustard is used as a food flavoring and as a forage crop. It has traditionally been used as an emetic and diuretic, as well as a topical treatment for inflammatory conditions such as arthritis and rheumatism."
Banana,Musa acuminata,"Bananas require an average of 4 to 6 inches of water each month, or about 1 to 1 1/2 inches per week, depending on the season.","Banana plants like warm and wet conditions, along with fertile soils. They grow best in the tropics, with an average temperature in the high-20s Celsius, and can be found in plantations in a wide band between 30 degrees north and south of the equator","They may boost your digestion and heart health thanks to their fiber and antioxidant contents. Plus, they may support weight loss because they're relatively low in calories, nutrient dense, and filling. Both ripe, yellow bananas and unripe, green bananas can satisfy your sweet tooth and help keep you healthy."
Aloe vera,Aloe barbadensis miller,"Water aloe vera plants deeply, but infrequently. To discourage rot, allow the soil to dry at least 1 to 2 inches deep between waterings. Don't let your plant sit in water. Water about every 3 weeks and even more sparingly during the winter.","Place in bright, indirect sunlight or artificial light. A western or southern window is ideal. Aloe that are kept in low light often grow leggy. Temperature: Aloe vera do best in temperatures between 55 and 80°F (13 and 27°C).","It contains healthful plant compounds, It has antioxidant and antibacterial properties, It accelerates wound healing, It reduces dental plaque, It helps treat canker sores, It reduces constipation, It may improve skin and prevent wrinkles, It lowers blood sugar levels. "
Almond,Prunus amygdalus,"During peak season, almond trees need 3-4 inches (8–10 cm) of water every 2 weeks. Almond trees require 2 inches (5 cm) of water every 2 weeks in the off-season. This is a pretty high rate of water consumption and it is very necessary","The almond tree thrives in hot and dry climates, but it also has certain needs in cold (250-350 and in some varieties 500 hours), and that's why it cannot be cultivated in tropical climates.","Almonds Reduce Cholesterol, Almonds are Good for Your Heart, Almonds Regulate Blood Sugar, Almonds can help control Blood pressure levels, Almonds have High Vitamin E, Almonds Reduces Weight, Almonds are Rich in Nutrients."
Palash,Butea monosperma,"Palash requires at least six hours of direct sunlight. The soil must be well-drained, fertile, and organic for these plants to flourish. Ensure to keep the water off the leaves when watering the plants once a week. Don't overwater the plant; water it from the base up.","The plant does well in tropical and subtropical climates. It dwells in a wide temperature, ranging from 30° C to 45° C (85° F-115° F). But, thanks to its hardy nature, it can tolerate even the lowest temperature of 2° C (35° F).",Palash is mainly used to get rid of worms from the stomach due to its anthelmintic activity. It can be used to manage diarrhoea as it has antimicrobial and astringent properties. It also helps to manage liver disorders due to its antioxidant properties.
Carex,Carex,it thrives in up to three inches of water,"Sedge prefers a moist, well-drained soil with part shade. Very easy to maintain, Carex requires little if any feeding and in early spring, cut back by 1/3 or simply tease out dead blades to spruce up appearance. Division is best done in the spring.","Carex species and cultivars are popular in horticulture, particularly in shady positions. Native species are used in wildland habitat restoration projects, natural landscaping, and in sustainable landscaping as drought-tolerant grass replacements for lawns and garden meadows."
Marigold flower,Tagetes,"Marigolds growing in containers may need more frequent watering.) Each time you water, be sure to drench the soil, and aim the nozzle or spout of your watering device toward the base of the plants.","Marigolds prefer full sun, but will grow in partial shade. Once the seed germinates, marigolds take around 45-50 days to flower","Fevers, Jaundice, Stomach ulcers, Conjunctivitis (pink eye), Liver problems, Burns and wounds, To stop bleeding."
Lily flower,lilium,"During active growth, water freely—especially if rainfall is less than 1 inch per week. Keep lilies mulched so that their roots are cool. The mulch should feel moist, but not wet.","Light. Peace lilies are shade-loving plants but as an indoor flowering plant, they need to be filtered light throughout the day. Although they do like hot direct sunlight they do appreciate a few hours of early morning sunlight from the east.","Lily-of-the-valley is used for heart problems including heart failure and irregular heartbeat. It is also used for urinary tract infections (UTIs), kidney stones, weak contractions in labor, epilepsy, fluid retention (edema), strokes and resulting paralysis, eye infections (conjunctivitis), and leprosy."
Lotus flower,Nelumbo,"All that is necessary is a H no holes container and a few inches of water above the soil. The smaller varieties need only a couple of inches above the soil, whereas the larger varieties that can grow to 5' tall, will need 8-10"" of water above the soil. Remember to add water to your lotus container as it evaporates.","Lotus will handle some shade, especially in warmer climates, but to grow and bloom their best they prefer full sunlight. The main exception is in hot desert climates, where some shade cloth is desirable. Lotus require temperatures of at least 75 degrees F. for at least three months in summer to do well","People use lotus for bleeding, cough, fever, liver and stomach problems, and other conditions, but there is no scientific evidence to support these uses. In Asia, various parts of the lotus plant are commonly used for cooking, baking, and adding flavor to beverages"
Mallow flower,Malva,"Weekly watering is required only during its first year. After this, your watering regime can be reduced to once every 10-14 days","Mallow is easy to grow and start from seed, as long as you choose a location that provides moist, well-drained, organically rich soil and full sun.","Mallow is used for irritation of the mouth and throat, dry cough, and bronchitis. It is also used for stomach and bladder complaints. To treat wounds, some people put mallow in a warm moist dressing (poultice) and apply it directly to the skin, or add it to bath water. In foods, mallow is used as a coloring agent."
Knapweed,Centaurea,"Greater knapweed needs moderate amounts of water for proper growth, so the watering should be done once every 3-4 days during the spring and fall. When temperature in summer is high, large amounts of water evaporate, so watering should be done twice a day – in the morning and in the evening.","knapweed prefers dry, sandy soils. It is found growing in a wide range of natural and disturbed habitats. Typically invading natural areas, pastures","It is good for catarrh, taken in decoction, and is also made into ointment for outward application for wounds and bruises, sores, etc. Culpepper tells us: 'it is of special use for soreness of throat, swelling of the uvula and jaws, and very good to stay bleeding at the nose and mouth."
Joe pye weed,Eutrochium purpureum,Water Consistently,"Joe-pye weeds in the garden prefer full sun to partial shade. They also like to be kept somewhat moist in average to rich soil. Growing Joe-pye weed will even tolerate wet soil conditions but not overly dry sites. Therefore, in areas with hot, dry summers, plant these ornamental beauties in partially shaded locales.",The Ojibwas used Joe-Pye weed to bless babies. Children were given baths in herb water to soothe and calm them. European settlers used the knowledge handed down from the Native Americans and kept Joe-Pye weed in the “medicine cabinet”. Later 19th century Americans used it for kidney and urinary infections.
Yucca,YUCCA,"Yuccas are highly sensitive to overwatering. Water your plant once a week during the spring and summer growing seasons, but ensure it has excellent drainage and dries out between waterings. Come winter, decrease your watering cadence to once every few weeks (or even less).",Habitats occupied by Mojave yucca are hot and arid. The Mojave Desert where Mojave yucca is most common is considered the most arid of the North American deserts due to combined high temperatures and low rainfall level,"The root of the non-flowering plant is used to make medicine. Yucca is used for osteoarthritis, high blood pressure, migraine headaches, inflammation of the intestine (colitis), high cholesterol, stomach disorders, diabetes, poor circulation, and liver and gallbladder disorders."
Aeonium,Aeonium,"Aeoniums store water in their leaves and stems and need very little watering. In spring and autumn, water the plant thoroughly, then allow the compost to dry out before watering again – this mimics downpours in their natural habitats. Water more sparingly in summer and winter.","Whether you're growing them indoors or out, aeoniums thrive in bright, dry conditions. They store water in their thick, fleshy leaves and need very little water, which means they do best in very well drained soil or in a gravel garden.","Aeonium arboreum has long been used in the traditional medicinal practices of several countries to treat various ailments. It is used as a: diuretic, litholytic, antipyretic, febrifuge, antihemorrhoidal, and anti-inflammatory. Leaves can be used in fresh or dried form"
Agapanthus,Agapanthus,"Water regularly in the growing season, especially in the first year after planting. Once established they will need little watering, but some in late summer in very dry years will help ensure good flowering in the next year.","Agapanthus are best planted in a moist but well-drained soil of sand, clay, chalk or loam within an acidic, alkaline or neutral PH balance. They are best positioned in full sun. As they prefer their roots to be restricted, they make great pot plants",The Agapanthus africanus plant is used by South African traditional healers as a phytomedicine in herbal remedies to treat pregnancy-related ailments and to augment labour. It has already been shown that an aqueous extract of A. africanus causes smooth muscle contractions in the isolated uterus and ileum preparations.
Coconut,Cocos nucifera,"The irrigation requirement varies according to the soil type and climatic condition. Generally, an adult palm requires 600 to 800 litres of water once in four to seven days. Irrigate in basins of 1.8m radius and 10-20 cm depth.",Coconut is essentially a tropical plant but has been found to grow under varying agro climatic conditions. The mean annual temperature for optimum growth and maximum yield is stated to be 270C with a diurnal variation of 60C to 70C and relative humidity more than 60 %.,"The coconut tree provides food, fuel, cosmetics, folk medicine and building materials, among many other uses. The inner flesh of the mature seed, as well as the coconut milk extracted from it, form a regular part of the diets of many people in the tropics and subtropics."
Saffron flower,Crocus sativus,"Indeed, saffron has a low water requirement as only 3000–3600 m3 ha−1 of water is used per year for saffron production in Iran","It might be because of the favorable environmental conditions, viz., average temperature (28.2°C), total rainfall (742.7 mm) and relative humidity (38.3%). It means that saffron required lower relative humidity to produce a higher yield of spice.","Saffron is a powerful spice high in antioxidants. It has been linked to health benefits, such as improved mood, libido, and sexual function, as well as reduced PMS symptoms and enhanced weight loss. Best of all, it's generally safe for most people and easy to add to your diet."
Zinnia flower red,Zinnia,"Water the Zinnia plant regularly, for a total of about 1 inch per week.","Zinnias are sensitive to frost, so do not seed until the last frost has passed in your area. See your local frost dates. Zinnias will grow in a minimum daytime temperature of about 60°F (16°C), though a range of 74–84°F (23–28°C).",Zinnias Are Low-Maintenance and Easy to Grow. Zinnias Make Excellent Cut Flowers. Zinnias Attract Beneficial Pollinators. Zinnia Flowers Are Edible. Zinnias Are Annuals. Zinnias Have a Long Flowering Season. Zinnias Are Beautiful Ornamental Plants. Zinnias May Help Reduce Stress. 
Yellow sow thistle,Sonchus oleraceus,four times as much water as an oat plant.,"Sowthistle typically grows in full sun, moist to slightly dry conditions, and different kinds of soil, including loam, clay-loam, and shallow gravelly","Sonchus oleraceus L., also known as common sow thistle and milk thistle, is a traditional medicinal plant belonging to family Asteraceae, used worldwide in folk medicine to treat gastrointestinal tract disorders, tumor, and inflammatory diseases"
Wild Leek,Allium tricoccum,"A total of 12-15 inches of water may be required depending on planting date, seasonal variation and variety. Soil type does not affect the amount of total water needed, but does decide frequency of water application","Plant the bulbs about 3 inches deep under deciduous trees and mulch with fallen leaves. Wild Leek prefers typical woodland conditions, with dappled sunlight to encourage growth in early spring, and deeper shade later in the summer as the the trees leaf out.","Wild leeks can be enjoyed raw, pickled or cooked. They're the perfect addition to a spring salad, you can use them in soups, pestos and stir-fries, or you can dehydrate them and grind them into a powder. Basically, anywhere you'd use shallots or scallions, you could easily sub a wild leek instead!"
Wild grape wine,Vitis vinifera,"Young grapes require about 1/2 to 1 inch of water per week, depending on rainfall, for the first two years during the growing season. When watering young vines, saturate the root zone. Apply 5 gallons of water over a 3 x 3 foot area for 1 inch of water","Adequate sun, heat, and water during the growing season, and enough cold during the dormancy phase are crucial for healthy growth of vines and production of premium quality grapes. Grapevines thrive best in climates with long warm summers, and rainy winters.","When you make wild grape wine, the seeds of the grapes contain polyphenols, which are micronutrients containing anti-inflammatory and anti-oxidant properties. Evidence has proven that polyphenols can help prevent cancer, type 2 diabetes, cardiovascular and neurodegenerative diseases."
Wild bee balm flowers,Monarda,watering every 7 to 10 days during dry periods.,"Bee balm grows well in hardiness zones 3-9, and is best planted in full sun, though it will tolerate shade in hotter areas, and can benefit from afternoon shade in very warm climates, which will protect plants from heat and lengthen the flowering season",Digestive. Decongestant. Antimicrobial. Analgesic. Antispasmodic. Antifungal. Nervine tonic. Anti-inflammatory. 
White yarrow,Achillea millefolium,Keep the soil evenly moist until the roots become established but after that only water your Yarrow plants when the soil is completely dry. Fertilization is rarely needed. Water your Yarrow plants deeply at least once a week the first summer,"Hot,dry conditions","Yarrow contains chemicals that might help to stop stomachcramps and fight infections. People commonly use yarrow for eczema, irritable bowel syndrome (IBS), wound healing, and many other conditions, but there is no good scientific evidence to support these uses. Yarrow is sometimes called bloodwort."
Viola flower,Viola,"Water regularly, but allow the soil to dry out between waterings. They can tolerate some drought but will bloom best with regular watering",Humidity and temperature. Early spring temperatures between 40- and 70- degrees Fahrenheit are ideal for violet growth. They also flourish in cooler climates. The stress of high temperatures will be lessened by much and water,"Viola has long been used for its medicinal properties. Some of its possible uses include: external application for skin conditions such as eczema, due to its anti-inflammatory and purifying properties. established diuretic action means it can help treat rheumatism, cystitis, and urination difficulties."
Tulip flower,Tulipa,"Tulips need very little water. Water them well just once when planting, then you can forget about them until spring. The only exception is during extended periods of drought when you should water weekly to keep the ground moist.","Tulips prefer a site with full or afternoon sun. In Zones 7 and 8, choose a shady site or one with morning sun only, as tulips don't like a lot of heat. Soil must be well-draining, neutral to slightly acidic, fertile, and dry or sandy. All tulips dislike areas with excessive moisture","Tulip petals are edible and can be used to replace onions in many recipes or even to make wine. At the peak of the tulip mania, the flowers were worth more than diamonds. There are over 150 species of tulips with a shocking 3000 varieties."
Vervain Mallow flower,Malva alcea,"Weekly watering is required only during its first year. After this, your watering regime can be reduced to once every 10-14 days.","Performs best in full sun or part shade, in average, medium moisture, well-drained soils. Best flower color is obtained in full sun. Easy to grow, Common Mallow is a welcomed addition to beds and borders, cottage gardens and wildflower meadows.","Mallow is a plant. People use the flower and leaf to make medicine. Mallow is used for irritation of the mouth and throat, dry cough, and bronchitis."
Tuberose flower,Polianthes tuberosa,"Water regularly during active growth if rain does not occur, with about 1 to 1.5"" of total water per week as a fair estimate","Tuberose prefers to grow in an open sunny location, away from the shade of trees. It requires warm and humid climate although flowering is profuse under mild climate. In India,commercial cultivation of tuberose is confined to warm humid areas with average temperature ranging from 20° to 30°C.","Tuberose can successfully be grown in pots, borders, and beds and commercially cultivated for its various uses. The flowers of tuberose are also used for making artistic garlands, floral ornaments, bouquets, buttonholes, gajras, and extraction of essential oil."
Trachelium flower,Trachelium caeruleum,"In summer, they are watered often and abundantly",Trachelium Plant species such as Blue throatwort are easy to look after. They like a slightly moist soil so water them when the soil starts to dry out. It is also a good idea to protect them from heavy rain in the winter.,"trachelium is a cure for sore throat, and the species name trachelium refers to its use as treatment of the throat in folk medicine"
Touch me not flower,Mimosa pudica,"does not need regular watering, but even then, once in a while, fertiliser can provide the plant with a health boost during its growing stage.","he touch-me-not plant is a tropical plant that needs a temperature range of 60 to 85 degrees Fahrenheit to sustain healthy growth and produce flowers. Since most indoor environments fall within that range, it's perfect for a houseplant. Its USDA zone for outdoors is 9 to 11.","It helps in the treatment of many disorders like piles, dysentery, sinus, insomnia, diarrhea, alopecia and is also applied to cure wounds since ages. Touch-me-not plant helps as it has antibacterial, antivenom, antidepressant, aphrodisiac, anticonvulsant, anti-fertility and anti-asthmatic properties"
Teasel flower,Dipsacus,Teasel needs 0.8 cups of water every 9 days,"Found in damp grassland and field edges, or on disturbed ground, such as roadside verges and waste grounds, they are visited by bees when in flower, and birds when seeding.","Overview. Teazle is an herb. The roots and leaves are used to make medicine. People apply teazle to the skin for wound healing, arthritis, and scaly, itchy skin (psoriasis)."
Statice flower,limonium,"Statice prefers full sun; so provide a bright, sunny location for the best possible blooms. Water your statice seeds and transplants every other day until the plants are well established. Once mature, your statice plant will be quite drought tolerant, so plan on watering only once or twice a week when it is full grown","Easy to grow, Statice performs best in full sun in dry to medium moisture, sandy loams, and well-drained soils. Drought tolerant once established. virtually pest and disease free. Keep an eye out for crown and root rot and make sure you provide good air circulation.","Easy to grow, the statice flower is a popular choice for flower beds as full blooms or as boarders. They are also used by florists as a filler flower in cut arrangements and are widely used for dried arrangements as well."
Rose hips,Rose canina,"Soil, temperature, and surrounding plants affect how much water a rose needs. In temperate climates, weekly watering is usually enough and two inches of water per week (4 to 5 gallons) may be all that is needed. If the soil is sandy or the garden is hot, dry, or windy, more frequent watering may be necessary.","lant your roses in fertile, well-drained soil in a site with good air circulation and full sun. Irrigate during dry weather. Add a 3-inch layer of organic compost.",Rosehip is a herbal medication with anti-inflammatory properties. It's available over the counter in capsule form. Evidence suggests that rosehip may be effective in relieving some symptoms associated with rheumatoid arthritis and osteoarthritis.
Ranunculus flower,Ranunculus,Regular watering,"Ranunculus plants need full sun and rich, well-draining soil. Prepare the planting area by incorporating several inches of compost into the soil. Plant the corms 2” deep and about 9” apart. If there's a chance you could still get some freezing temperatures, cover the planting area with frost cloth.",SBL Ranunculus Bulbosus Dilution 30 CH is a homoeopathic remedy that is useful in treating various ailments related to skin and chest. Formulated from buttercup plant it is useful in treating rheumatic pain in ribs and shoulder blades. It is also useful in reducing burning and itching on the skin.
Protea,protea,"Protea plants are drought-tolerant. All require less than average water. Many will thrive with little supplemental water once established, especially on the coast. Some will tolerate normal (moist) garden conditions, and most will not","Most species originate from the winter-rainfall areas of South Africa and grow in very well-drained, nutrient-poor, acidic soil. As can be expected from their natural coastal and mountainous habitats, they are used to lots of air flowing around them and plenty of sun.","The Protea repens was used in the early Cape Colony to clear chest disorders. A syrup extract from its nectar, known as 'bossiestroop', formed an ingredient in this 'cough mixture'. The Protea caffra is used to treat diarrhoea and bleeding stomach ulcers."
St john,Hypericum perforatum,"St. John's Wort needs minimal supplemental watering after it has fully established, but it does require consistently moist soil after first planting","It grows well in sand, clay, rocky soil or loam, and tolerates acidic to slightly alkaline pH. St. John's wort adapts to both moist and dry soil, and even tolerates occasional flooding. It also withstands drought but grows best with irrigation during prolonged dry spells.","St. John's wort is promoted for depression, menopausal symptoms, attention-deficit hyperactivity disorder (ADHD), somatic symptom disorder (a condition in which a person feels extreme, exaggerated anxiety about physical symptoms), obsessive-compulsive disorder, and other conditions"
Solidago flower,Solidago,Goldenrod is easy to care for and does not need feeding or watering. It should get all the water it needs from rainfall. Divide every three or four years if necessary and deadhead if you do not want plants to self seed,"Golden rod (Solidago canadensis L.) belonging to family Asteraceae, is an erect growing hardy perennial plant grows well in almost all types of climate and soils ranging from light to heavy type. The soil rich in organic matter is ideal for its successful vegetative growth and flowering.","The name solidago means ""to make whole."" Goldenrod has also been used to treat tuberculosis, diabetes, enlargement of the liver, gout, hemorrhoids, internal bleeding, asthma, and arthritis. In folk medicine, it is used as a mouth rinse to treat inflammation of the mouth and throat."
Purple Deadnettle flower,Lamium purpurem,"For purple dead-nettle planted in sunny locations, watering once a week is sufficient to keep the soil moist. More frequent watering is needed to provide enough moisture, as well as help cool the plant in summer heat, as low humidity will lead to yellowing of the leaf edges.","Purple Dead-Nettle grows well in disturbed areas. It grows in areas with full sunlight or light shade and moist, fertile soil. It can be found in gardens, orchards, fields, ditches, and weedy edges of woodlands.","As a medicinal herb, purple dead nettle has astringent, purgative, diuretic, and diaphoretic properties. It's also anti-inflammatory, anti-fungal, and anti-bacterial. Fresh leaves can be applied to wounds as a poultice. You can also enjoy fresh or dry leaves as a tea."
Primrose blue,Primula vulgaris 'Danessa Blue',"Water thoroughly after planting. Add a layer of mulch around the plants to help retain moisture. Continue to give your primroses thorough watering throughout the summer months, about once a week or more during periods of drought, but let off once fall approaches.","Most primroses and primulas do best in partial shade, with moisture-retentive soil. Some are more suited to growing in bog gardens and other varieties will tolerate slightly drier conditions, as long as there's plenty of humus incorporated into the soil when planting. Most don't grow well in harsh, direct sunlight.","Evening primrose oil is not an essential oil commonly used for aromatherapy. Alternative healthcare providers believe that evening primrose oil can aid in the treatment of numerous health conditions, including skin conditions and nerve and joint pain."
Queen anne s lace flower,bDaucus carota,"established in its natural habitat, this plant does not need to be watered or fertilized","Queen Anne's lace is common in dry fields, roadside ditches and open areas. Queen Anne's lace, Daucus carota (Family Apiaceae), is a common sight in dry fields, roadside ditches and open areas.","Queen Anne's lace infusions are often used by those with kidney and bladder infections, cystitis, and gout (Hoffman, 2003) to flush toxins from the body. Some herbalists even suggest Queen Anne's lace infusions for clients with arthritis for this same reason."
Iris flower,Iris,"Water thoroughly when the top two inches of the soil becomes dry to the touch till the water drains out of the drainage hole at the bottom and always drains the bottom plate to avoid overwatering. The more light and warmth the iris gets, the more frequently it will need to be watered","These hardy perennials flourish in USDA Zones 3-9, where winter temperatures dip below freezing and let the plant go dormant before next year's growth","used in perfume and medicine, though more common in ancient times than today. Today Iris essential oil (absolute) from flowers are sometimes used in aromatherapy as sedative medicines. The dried rhizomes are also given whole to babies to help in teething."
Prickly pear cactus,Opuntia,water every two to four weeks for the first year — twice a month in summer and once a month other times of the year,"Prickly pear cactus is native to the southern United States, and quite a few species are native to Florida. This plant is drought and heat tolerant. It requires a sunny, well-drained site and is tolerant of sandy, alkaline soils. Prickly pear will only tolerate wet conditions for a very short period of time.","Prickly pear cactus — or also known as nopal, opuntia and other names — is promoted for treating diabetes, high cholesterol, obesity and hangovers. It's also touted for its antiviral and anti-inflammatory properties"
Pompon,Eupatorium macrocephalum,Watering daily,"Tropical and subtropical climatic conditions are ideal. However, the best temperature for growing chrysanthemum is 20-280C for day and 15-200C for night. Since chrysanthemum is a short day plant, planting should be done such that flowering coincides with short day conditions","One of the most important uses for pompoms in art projects, specifically for younger ages, is enhancing fine motor skills. Pompoms come in various sizes, from as small as a pea to as large as a golf ball."
Poinsettia,Euphorbia pulcherrima,"The key to watering a poinsettia is the moisture content of the potting soil. Check the potting soil daily with your finger. When the soil surface becomes dry to the touch, water the plant until water begins to flow out the bottom of the pot. Discard the excess water",Poinsettias originated from semitropical areas and will not withstand freezing temperatures. Even temperatures above freezing and below 45°F can induce chilling injury in the poinsettias. Optimum temperatures for poinsettia growth are between 60° and 80°F. Growth and development of poinsettias below 60°F is very slow,"Poinsettias are used primarily for ornamental purposes (eg, during the Christmas season) but have also been used traditionally to treat skin conditions, warts, and toothaches; however, clinical data are lacking to support these uses"
Pickerelweed,Pontederia cordata,1.1 litre per plant,"pickerel weed grows best in a sunny location. Its aggressive habit can help stabilize a pond bank, and it is nicely suited for planting in a water retention","Pickerelweed is not only a good food source for aquatic and terrestrial animals. The large leaves and clusters of stems provide excellent cover for fish, birds, insects, swimming mammals, amphibians and reptiles. The dense root system and stems provide a wave barrier protecting shoreline sediment from erosion"
Parlor palm,Chamaedorea elegans,Like other members of the Palm family these too are sensitive to overwatering and cannot tolerate excessive watering. Slight moisture but with a dash of dryness is ideal.,"Parlor Palm thrives well in an apartment space with low light. Even if it is placed near a bright window, the plant creates a shadow of its own and manages rest of the day brightening up the dullest and darkest corner of the house. Parlour Palm is a slow grower and might take years to grow up to a meter","The fronds are popular in flower arrangements, Palm Sunday decorations, and wreaths because they can survive for up to 40 days after being cut from the plant. Parlor palm is a slow grower and can take years to reach full height (2 to 6 feet indoors and 6 to 16 feet outdoors."
Orchid flower,Orchidaceae,apply a splash of water to the moss once every seven to 10 days.,"75% shade net house with 70- 80% humidity, day temperature of 21 - 29oC and night temperature of 18 to 21oC is ideal for growing this tropical orchid. In high rainfall zones, the shade net house should be provided with a rainshelter.",Beneficial for Skin Health. Cures Ulcers. Enhances Eyesight. Aids digestion. Relieves Stress.
